Segment,Distance(KM),Elevation(M),Slop(%),Slope_Magnitude(%),Risk
1,0.11,1002,-24.7%,24.7,Extreme
2,0.22,1005,18.9%,18.9,Red
3,0.33,1021,9.2%,9.2,Yellow
4,0.44,1016,-4.2%,4.2,Green
5,0.55,1016,10.4%,10.4,Red
6,0.66,1022,4.4%,4.4,Green
7,0.77,1005,-17.7%,17.7,Red
8,0.88,1003,37.1%,37.1,Extreme
9,0.99,1039,-7.2%,7.2,Yellow
10,1.1,1042,14.9%,14.9,Red
11,1.22,1056,5.4%,5.4,Yellow
12,1.33,1053,1.9%,1.9,Green
13,1.44,1056,9.3%,9.3,Yellow
14,1.55,1063,-14.9%,14.9,Red
15,1.66,1059,20.6%,20.6,Extreme
16,1.77,1069,-6.1%,6.1,Yellow
17,1.88,1082,15.8%,15.8,Red
18,1.99,1095,6.2%,6.2,Yellow
19,2.11,1083,-5.8%,5.8,Yellow
20,2.22,1102,17.1%,17.1,Red
21,2.33,1115,-1%,1,Green
22,2.44,1116,4.1%,4.1,Green
23,2.55,1108,-6.7%,6.7,Yellow
24,2.66,1118,5.5%,5.5,Yellow
25,2.77,1114,-1.4%,1.4,Green
26,2.88,1113,11.7%,11.7,Red
27,2.99,1126,23.7%,23.7,Extreme
28,3.11,1142,24.5%,24.5,Extreme
29,3.22,1152,19.5%,19.5,Red
30,3.33,1153,35.5%,35.5,Extreme
31,3.44,1177,15.4%,15.4,Red
32,3.55,1156,-22.3%,22.3,Extreme
33,3.66,1157,31.9%,31.9,Extreme
34,3.88,1191,8.3%,8.3,Yellow
35,3.99,1198,10.8%,10.8,Red
36,4.11,1208,17.1%,17.1,Red
37,4.22,1193,-33.3%,33.3,Extreme
38,4.33,1217,28%,28,Extreme
39,4.44,1208,15.8%,15.8,Red
40,4.55,1215,-30.4%,30.4,Extreme
41,4.66,1226,16.4%,16.4,Red
42,4.77,1227,12.3%,12.3,Red
43,4.88,1236,13%,13,Red
44,4.99,1243,17.1%,17.1,Red
45,5.11,1248,2.5%,2.5,Green
46,5.22,1265,16.8%,16.8,Red
47,5.33,1261,6.1%,6.1,Yellow
48,5.44,1263,3.9%,3.9,Green
49,5.55,1267,-2.1%,2.1,Green
50,5.66,1266,13.6%,13.6,Red
51,5.77,1273,11.6%,11.6,Red
52,5.88,1272,-12.1%,12.1,Red
53,5.99,1269,4.7%,4.7,Green
54,6.11,1271,8.9%,8.9,Yellow
55,6.22,1267,2.7%,2.7,Green
56,6.33,1264,-5.1%,5.1,Yellow
57,6.44,1264,6.2%,6.2,Yellow
58,6.55,1258,8.3%,8.3,Yellow
59,6.66,1268,6.2%,6.2,Yellow
60,6.77,1268,-3.7%,3.7,Green
61,6.88,1266,8.3%,8.3,Yellow
62,6.99,1267,-8.8%,8.8,Yellow
63,7.11,1270,12.6%,12.6,Red
64,7.22,1268,-50%,50,Extreme
65,7.33,1272,-6%,6,Yellow
66,7.44,1266,-7.2%,7.2,Yellow
67,7.55,1260,15.4%,15.4,Red
68,7.66,1259,-11.9%,11.9,Red
69,7.77,1283,2.6%,2.6,Green
70,7.88,1267,13.6%,13.6,Red
71,7.99,1279,9.1%,9.1,Yellow
72,8.11,1291,19.4%,19.4,Red
73,8.22,1282,-1.8%,1.8,Green
74,8.33,1297,35.2%,35.2,Extreme
75,8.44,1301,1.4%,1.4,Green
76,8.55,1305,0.4%,0.4,Green
77,8.66,1314,21.4%,21.4,Extreme
78,8.77,1313,11.6%,11.6,Red
79,8.88,1329,5.9%,5.9,Yellow
80,8.99,1323,1.3%,1.3,Green
81,9.11,1326,17.4%,17.4,Red
82,9.22,1347,18%,18,Red
83,9.33,1348,6.1%,6.1,Yellow
84,9.44,1358,-1.9%,1.9,Green
85,9.55,1348,-4.1%,4.1,Green
86,9.66,1361,34.4%,34.4,Extreme
87,9.77,1382,-32%,32,Extreme
88,9.88,1389,8.6%,8.6,Yellow
89,9.99,1392,-13%,13,Red
90,10.11,1386,14.6%,14.6,Red
